video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=hcoir84luYE&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Crime spree in Seattle neighborhood,8K,4 weeks,What started as a purse snatching ended in an armed kidnapping in a Seattle neighborhood on Tuesday.,2024-02-01 10:17:15.375630
/watch?v=WzX22oEKM4s&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Seattle's new app-based delivery ordinance goes into effect Saturday,32K,2 weeks,"Supporters say it will help provide a livable wage for app-based delivery drivers, but critics say it will make delivery services more ...",2024-02-01 10:17:15.376851
/watch?v=IKAJHDLzVhE&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,"Kirkland Police rescue missing teenage girl, arrest 2 suspects in human trafficking case",214K,1 month,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.378194
/watch?v=aIBlAgG01Zc&pp=ygUMc2VhdHRsZSBuZXdz,/@KREM2NewsSpokane,KREM 2 News,Search continues for Seattle Seahawks next head coach,221,18 hours,The search is narrowing down after Ben Johnson pulled his name from consideration. Several candidates are still set to be ...,2024-02-01 10:17:15.379490
/watch?v=xe9uIZtwjnE&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,New laws going into effect in Washington in 2024 | FOX 13 Seattle,6.1K,1 month,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.381398
/watch?v=IhTyWEG2fRM&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,BREAKING: Two people stabbed in Seattle,7.6K,3 months,Two people were hospitalized after a stabbing at 3rd and Stewart St. in downtown Seattle Friday morning.,2024-02-01 10:17:15.382808
/watch?v=PjfzB0HEL4I&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Thieves steal ATM from Red Apple Market,17K,9 days,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.384209
/watch?v=f2vSipoQRDQ&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Viral video shows Washington state ferry deck get flooded while crossing Strait of Juan de Fuca,65K,3 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.385581
/watch?v=U0KVBsPnwmg&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Police investigate South Seattle home invasions | FOX 13 Seattle,13K,1 month,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.386921
/shorts/MERDEQY2AA0,/@LockedOnSeahawks,Locked On Seahawks,The Resume of New Seattle Seahawks Coach Mike Macdonald #nfl #seahawks #mikemacdonald,817,14 hours,The Resume of New Seattle Seahawks Coach Mike Macdonald #nfl #seahawks #mikemacdonald Follow & Subscribe on all ...,2024-02-01 10:17:15.388204
/watch?v=M7uPWYaFuec&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,BREAKING: Man shot near SEA Airport,5.1K,2 weeks,A man was shot and killed on International Blvd. in near SEA Airport.,2024-02-01 10:17:15.389594
/watch?v=PXyaxDICXZ0&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Heavy snowfall wreaking havoc on I-90 | FOX 13 Seattle,165K,3 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:15.391043
/watch?v=JlS9D_8KHfQ&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Baristas fear for their safety after string of break-ins | FOX 13 Seattle,13K,6 days,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.373404
/watch?v=FBMphR6OMD4&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,All lanes of I-5 in Seattle reopen after protesters block traffic,22K,3 weeks,"At one point during the backup, traffic stretched 6 miles. Protesters have since left the freeway and traffic is moving once again.",2024-02-01 10:17:24.374716
/watch?v=S-Ghddd_wW0&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,4 armed suspects break into Mountlake Terrace home with family inside | FOX 13 Seattle,17K,2 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.376067
/watch?v=7yvNN9qm0C0&pp=ygUMc2VhdHRsZSBuZXdz,/@TopBillinSports,Top Billin',Eagles Breaking News: Philly KILLING IT landing Seahawks DC Clint Hurtt as DL Coach! | Mind Blown!,12K,2 days,Top Billin' reacts to the breaking news of the Philadelphia Eagles landing former Seahawks DC Clint Hurtt as a defensive line ...,2024-02-01 10:17:24.377416
/watch?v=YK7Xf88i1tE&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Refugees will be forced to leave Kent hotel,9K,2 days,200 Venezuelan refugees will be forced to leave a Kent Quality Inn unless someone steps in to help.,2024-02-01 10:17:24.378599
/watch?v=XhQrgQj3tvg&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Woman dies after shooting with police | FOX 13 Seattle,8.9K,3 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.379937
/watch?v=Le7N52mmLIk&pp=ygUMc2VhdHRsZSBuZXdz,/@komonews,KOMO News,14-year-old boy fatally shot in bathroom of West Seattle teen center pool,9.7K,6 days,A 14-year-old boy was shot and killed in the bathroom of a West Seattle teen center pool Tuesday afternoon. When officers arrived ...,2024-02-01 10:17:24.384433
/watch?v=19XA_LWwuQQ&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,"West Seattle women coming forward,  reporting series of similar harassment incidents",7.2K,3 weeks,Seattle Police are investigating a series of lewd and intimidating alleged harassment cases after multiple complaints from women ...,2024-02-01 10:17:24.385727
/watch?v=VwABA_5hmU4&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,‘Anti-homeless’ rocks in Washington: Should they be outlawed? | FOX 13 Seattle,6K,6 days,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.387070
/watch?v=jJvBQUsxPEk&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,WSP discusses tackling dangerous highway protests | FOX 13 Seattle,9.6K,3 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.388420
/watch?v=Ky0rNfXQj8Y&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Cold temps burst pipes across Puget Sound | FOX 13 Seattle,5.5K,2 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.389867
/watch?v=_fXl8qrDNoU&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,"Video captures argument leading up to deadly shooting at ATM in Renton, Washington",490K,2 months,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.391245
/watch?v=ffteXEXNIiw&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Protesters calling for ceasefire in Gaza block all NB I-5 lanes in Seattle,16K,3 weeks,"The freeway was blocked for over 3 hours as protesters stopped all traffic. Washington State Patrol, Seattle Police are working to ...",2024-02-01 10:17:24.392502
/watch?v=_WNXgBtKNqM&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,West Seattle business faces uncertain future as Sound Transit expands light rail,11K,4 days,Owner and founder Erin Rubin describes her current setup at Mode Music Studios in West Seattle as the ideal space. Countless ...,2024-02-01 10:17:24.393751
/watch?v=hcSjrK0sPkY&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,"Active, stormy and chilly week ahead for Seattle | FOX 13 Seattle",4.4K,3 weeks,"FOX 13 Meteorologist Abby Acone is tracking a cold and rainy week ahead, plus a healthy heaping of mountain snow!",2024-02-01 10:17:24.395036
/watch?v=t1l90oSTpdY&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Homicide investigation underway in Everett | FOX 13 Seattle,5K,1 month,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.396789
/watch?v=d-cQw1PHXoc&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Crews battling building fire in Seattle's First Hill neighborhood,7.3K,4 weeks,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:24.398150
/watch?v=0nsNbYLMJjU&pp=ygUMc2VhdHRsZSBuZXdz,/@SeahawksTV,Seahawks Today by Chat Sports,"MAJOR Seattle Seahawks Coaching Search Update On Ben Johnson, Mike Macdonald & Dan Quinn",11K,1 day,"Seattle Seahawks news and rumors on January 30th, 2024 having a major development in the coaching search to replace Pete ...",2024-02-01 10:17:24.399420
/watch?v=2wD9lLUXwtA&pp=ygUMc2VhdHRsZSBuZXdz,/@komonews,KOMO News,72nd Seattle homicide of 2023 marks highest record since 1994,6.2K,1 month,"The city of Seattle just hit a record number of homicides. A deadly stabbing Thursday morning marked the 72nd of the year, the ...",2024-02-01 10:17:24.401088
/watch?v=v45dFfWcRuk&pp=ygUMc2VhdHRsZSBuZXdz,/@komonews,KOMO News,Security officer thwarts suspected armed robber outside Seattle Whole Foods store,36K,1 month,"An armed robber charged into a Seattle grocery store holding what looked like a real pistol straight out in front of her, but a ...",2024-02-01 10:17:24.402819
